"","name","mass","eff","diet","order","family","habitat","fac"
"145","Dorcopsis_hageni",5.5,0.840302857198534,2,"Diprotodontia","Macropodidae",1,3
"146","Dremomys_lokriah",0.227,0.74581390910471,2,"Rodentia","Sciuridae",2,2
"147","Dromiciops_gliroides",0.0223,0.762067537216413,1,"Microbiotheria","Microbiotheriidae",2,2
"148","Dryomys_nitedula",0.0336,0.754891868639982,3,"Rodentia","Myoxidae",2,2
"149","Echinops_telfairi",0.13275,0.783490936471902,1,"Insectivora","Tenrecidae",1,2
"150","Echinosorex_gymnura",0.957,0.683225716223351,1,"Insectivora","Erinaceidae",1,3
"151","Echymipera_kalubu",0.78216667,0.758682447858745,2,"Peramelemorphia","Peroryctidae",1,3
"152","Eira_barbara",3.91,0.759261928915098,1,"Carnivora","Mustelidae",2,2
"153","Elephantulus_rupestris",0.0664,0.671670455195197,3,"Macroscelidea","Macroscelididae",3,3
"154","Elephas_maximus",2915.04,0.990558671231578,2,"Proboscidea","Elephantidae",4,3
"155","Eliomys_melanurus",0.1225,0.778306854048009,3,"Rodentia","Myoxidae",2,2
"156","Equus_burchellii",276,0.885753689222128,2,"Perissodactyla","Equidae",4,3
"157","Equus_caballus",250,0.903269711322607,2,"Perissodactyla","Equidae",4,3
"158","Equus_hemionus",230,0.870516067007097,2,"Perissodactyla","Equidae",4,3
"159","Equus_zebra",286.9987,0.889213949342923,2,"Perissodactyla","Equidae",4,3
"160","Erethizon_dorsatum",7.0853,0.752935989474287,2,"Rodentia","Erethizontidae",1,3
"161","Erinaceus_europaeus",0.771,0.670349177260143,1,"Insectivora","Erinaceidae",4,3
"162","Erythrocebus_patas",7.2699,0.94035754049081,3,"Primates","Cercopithecidae",2,2
"163","Eulemur_fulvus",3.15,0.850751534666496,2,"Primates","Lemuridae",2,2
"164","Euphractus_sexcinctus",4.7829,0.644938148264879,3,"Xenarthra","Dasypodidae",1,1
"165","Felis_margarita",2.525,0.813893138286979,1,"Carnivora","Felidae",3,3
"166","Felis_nigripes",1.3,0.804116331509674,1,"Carnivora","Felidae",4,3
"167","Felis_silvestris",5.1,0.80481130209622,1,"Carnivora","Felidae",4,3
"168","Fossa_fossana",1.5,0.802265084176842,1,"Carnivora","Viverridae",1,3
"169","Funambulus_pennantii",0.2,0.693415961635621,3,"Rodentia","Sciuridae",2,2
"170","Galago_gallarum",0.25,0.763278047091512,3,"Primates","Galagonidae",2,2
"171","Galerella_flavescens",0.75,0.822983281446765,1,"Carnivora","Herpestidae",4,3
"172","Galidia_elegans",0.8,0.740568322993804,1,"Carnivora","Herpestidae",1,3
"173","Gazella_dama",72.9995,0.908602570825573,2,"Artiodactyla","Bovidae",3,3
"174","Gazella_granti",54.9997,0.892618120254812,2,"Artiodactyla","Bovidae",4,3
"175","Gazella_saudiya",16,0.885564837992904,2,"Artiodactyla","Bovidae",3,3
"176","Gazella_subgutturosa",28.5,0.84906474042536,2,"Artiodactyla","Bovidae",3,3
"177","Gazella_thomsonii",20.4998,0.844528250179392,2,"Artiodactyla","Bovidae",4,3
"178","Genetta_genetta",1.8,0.719554732466603,1,"Carnivora","Viverridae",2,2
"179","Geocapromys_brownii",1.5,0.731915131803667,2,"Rodentia","Capromyidae",1,3
"180","Geogale_aurita",0.00685,0.706530982972111,1,"Insectivora","Tenrecidae",1,3
"181","Gerbillus_gerbillus",0.025,0.760287076428446,3,"Rodentia","Muridae",3,1
"182","Giraffa_camelopardalis",899.9948,0.965064929426297,2,"Artiodactyla","Giraffidae",4,3
"183","Gorilla_gorilla",124.251,0.986102866940091,2,"Primates","Hominidae",1,3
"184","Gracilinanus_agilis",0.022,0.735956004254297,3,"Didelphimorphia","Didelphidae",2,2
"185","Graphiurus_ocularis",0.0688,0.763909936125972,3,"Rodentia","Myoxidae",2,2
"186","Gulo_gulo",17.01255,0.698602971671659,1,"Carnivora","Mustelidae",5,3
"187","Gymnobelideus_leadbeateri",0.127,0.749013983399918,3,"Diprotodontia","Petauridae",2,2
"188","Hapalemur_griseus",1.4,0.827789583296919,2,"Primates","Lemuridae",2,2
"189","Helarctos_malayanus",46.5,0.838006903564689,1,"Carnivora","Ursidae",1,3
"190","Hemibelideus_lemuroides",0.9525,0.760844286040404,2,"Diprotodontia","Psuedocheiridae",2,2
"191","Hemicentetes_semispinosus",0.1359,0.7855412359857,1,"Insectivora","Tenrecidae",1,3
"192","Hemiechinus_aethiopicus",0.188,0.708670114042375,1,"Insectivora","Erinaceidae",3,3
"193","Hemigalus_derbyanus",2.116875,0.705053822159228,1,"Carnivora","Viverridae",2,2
"194","Herpailurus_yaguarondi",7.8749,0.757496189551823,1,"Carnivora","Felidae",1,3
"195","Herpestes_brachyurus",2,0.781260672118811,1,"Carnivora","Herpestidae",1,3
"196","Herpestes_edwardsii",1.3242,0.704931684617244,1,"Carnivora","Herpestidae",1,3
"197","Herpestes_smithii",1.78195,0.726487498541111,1,"Carnivora","Herpestidae",1,3
"198","Heterohyrax_brucei",2.625,0.639363687731478,2,"Hyracoidea","Procaviidae",5,3
"199","Heteromys_desmarestianus",0.0725,0.675248974488814,2,"Rodentia","Heteromyidae",1,1
"200","Hexaprotodon_liberiensis",235.0012,0.819820007139113,2,"Artiodactyla","Hippopotamidae",1,3
"201","Hippopotamus_amphibius",1417.49,0.832810204970349,2,"Artiodactyla","Hippopotamidae",4,3
"202","Hippotragus_equinus",269.9977,0.873812042698462,2,"Artiodactyla","Bovidae",4,3
"203","Hippotragus_niger",227.4993,0.909585420171578,2,"Artiodactyla","Bovidae",4,3
"204","Homo_sapiens",70,0.975139662274972,3,"Primates","Homoinidae",4,3
"205","Hoplomys_gymnurus",0.24,0.637700160539945,3,"Rodentia","Echimyidae",1,3
"206","Hyaena_hyaena",41.7051,0.86367603669737,1,"Carnivora","Hyaenidae",4,3
"207","Hydrochaeris_hydrochaeris",62.4496,0.833550317163758,2,"Rodentia","Hydrochaeridae",4,1
"208","Hydromys_chrysogaster",0.47975,0.767953650778486,1,"Rodentia","Muridae",1,1
"209","Hylobates_agilis",5.65,0.725399240223938,3,"Primates","Hylobatidae",2,2
"210","Hylobates_leucogenys",7.32,0.691776841954597,3,"Primates","Hylobatidae",2,2
"211","Hylomys_suillus",0.064,0.660144517509293,1,"Insectivora","Erinaceidae",1,3
"212","Hypogeomys_antimena",1.25,0.784795856007511,3,"Rodentia","Muridae",1,1
"213","Hypsiprymnodon_moschatus",0.52,0.721367937859584,3,"Diprotodontia","Potoroidae",1,3
"214","Hystrix_africaeaustralis",14.936,0.762012313562311,2,"Rodentia","Hystricidae",4,1
"215","Indri_indri",8,0.902367252614805,2,"Primates","Indridae",2,2
"216","Isoodon_obesulus",0.775,0.670597586002406,3,"Peramelemorphia","Peramelidae",1,1
"217","Jaculus_jaculus",0.0566,0.782787052992726,3,"Rodentia","Dipodidae",3,3
"218","Kerodon_rupestris",0.8,0.779104813244382,2,"Rodentia","Caviidae",3,3
"219","Lagidium_viscacia",1.54,0.803046495931089,2,"Rodentia","Chinchillidae",5,3
"220","Lagorchestes_conspicillatus",3.05,0.781509311951821,2,"Diprotodontia","Macropodidae",1,3
"221","Lagostomus_maximus",4.6475,0.827329803105488,2,"Rodentia","Chinchillidae",4,1
"222","Lagothrix_flavicauda",6.8,0.857396903582204,2,"Primates","Cebidae",2,2
"223","Lama_guanicoe",120,0.921949484173725,2,"Artiodactyla","Camelidae",4,3
"224","Lariscus_insignis",0.2,0.696079108205892,2,"Rodentia","Sciuridae",1,2
"225","Lasiorhinus_krefftii",2.9,0.652221389650998,2,"Diprotodontia","Vombatidae",4,1
"226","Leggadina_forresti",0.02,0.654434903369778,1,"Rodentia","Muridae",1,1
"227","Lemmus_lemmus",0.0475,0.774263901789415,2,"Rodentia","Muridae",5,1
