"","name","mass","eff","diet","order","family","habitat","fac"
"223","Lama_guanicoe",120,0.934601158521878,2,"Artiodactyla","Camelidae",4,3
"224","Lariscus_insignis",0.2,0.550036670844812,2,"Rodentia","Sciuridae",1,2
"225","Lasiorhinus_krefftii",2.9,0.787350407939042,2,"Diprotodontia","Vombatidae",4,1
"226","Leggadina_forresti",0.02,0.528765366135871,1,"Rodentia","Muridae",1,1
"227","Lemmus_lemmus",0.0475,0.64033487256605,2,"Rodentia","Muridae",5,1
"228","Lemniscomys_barbarus",0.0262,0.686923491217969,2,"Rodentia","Muridae",1,3
"229","Lemur_catta",2.9,0.806836137216024,2,"Primates","Lemuridae",2,2
"230","Leontopithecus_rosalia",0.5355,0.590457437420594,3,"Primates","Callitrichidae",2,2
"231","Leopardus_pardalis",11.9001,0.807345934178616,1,"Carnivora","Felidae",1,3
"232","Leopoldamys_sabanus",0.3675,0.724148527823569,3,"Rodentia","Muridae",1,2
"233","Lepilemur_ruficaudatus",0.7,0.404090373862407,2,"Primates","Megaladapidae",2,2
"234","Leporillus_conditor",0.35,0.648738148581518,2,"Rodentia","Muridae",3,3
"235","Leptailurus_serval",12,0.824500249703151,1,"Carnivora","Felidae",4,3
"236","Lepus_alleni",3.685,0.67203793791611,2,"Lagomorpha","Leporidae",4,3
"237","Lepus_americanus",1.71,0.621736033524636,2,"Lagomorpha","Leporidae",4,3
"238","Lepus_arcticus",4.405,0.733498415352015,2,"Lagomorpha","Leporidae",4,3
"239","Lepus_californicus",2.4225,0.611735688666682,2,"Lagomorpha","Leporidae",4,3
"240","Lepus_europaeus",3.74,0.786143297377775,2,"Lagomorpha","Leporidae",4,3
"241","Lepus_townsendii",1.555,0.661508381307218,2,"Lagomorpha","Leporidae",4,3
"242","Lestoros_inca",0.0211,0.742982489506768,1,"Paucituberculata","Caenolestidae",1,3
"243","Limnogale_mergulus",0.0786,0.535176071787473,1,"Insectivora","Tenrecidae",1,3
"244","Liomys_pictus",0.04,0.547137552270188,2,"Rodentia","Heteromyidae",1,1
"245","Lophocebus_albigena",7.6901,0.82147432238192,2,"Primates","Cercopithecidae",2,2
"246","Loris_tardigradus",0.22765,0.650290312558476,1,"Primates","Loridae",2,2
"247","Loxodonta_africana",3940.0343,0.982282586229432,2,"Proboscidea","Elephantidae",4,3
"248","Lutreolina_crassicaudata",0.5373,0.699895096955955,1,"Didelphimorphia","Didelphidae",2,2
"249","Lycaon_pictus",22.0501,0.868102316558542,1,"Carnivora","Canidae",4,3
"250","Lynx_canadensis",9.3732,0.805688477497088,1,"Carnivora","Felidae",4,3
"251","Macaca_assamensis",12,0.839346354154266,2,"Primates","Cercopithecidae",2,2
"252","Macaca_fascicularis",3.9915,0.839462281067855,2,"Primates","Cercopithecidae",2,2
"253","Macropus_agilis",15,0.676907742849,2,"Diprotodontia","Macropodidae",4,3
"254","Macropus_antilopinus",27.25,0.674792200933726,2,"Diprotodontia","Macropodidae",3,3
"255","Macropus_eugenii",6.5,0.674965103554874,2,"Diprotodontia","Macropodidae",1,3
"256","Macropus_irma",8,0.683994229071789,2,"Diprotodontia","Macropodidae",1,3
"257","Macroscelides_proboscideus",0.0382,0.679973033351999,1,"Macroscelidea","Macroscelididae",3,3
"258","Macrotis_lagotis",1.35,0.701889283207004,2,"Peramelemorphia","Peramelidae",3,1
"259","Madoqua_kirkii",5.3001,0.75498746099741,2,"Artiodactyla","Bovidae",4,3
"260","Madoqua_piacentinii",2.5,0.761909560346909,2,"Artiodactyla","Bovidae",4,3
"261","Madoqua_saltiana",3.25,0.781527851607797,2,"Artiodactyla","Bovidae",4,3
"262","Mandrillus_leucophaeus",15,0.893883139584141,3,"Primates","Cercopithecidae",1,3
"263","Marmosa_lepida",0.014,0.69822547035596,1,"Didelphimorphia","Didelphidae",2,2
"264","Marmosops_parvidens",0.015,0.643729154032114,1,"Didelphimorphia","Didelphidae",2,2
"265","Marmota_monax",3.8017,0.644851941777957,2,"Rodentia","Sciuridae",4,1
"266","Martes_flavigula",1.8425,0.773121471345895,1,"Carnivora","Mustelidae",2,2
"267","Mastomys_hildebrandtii",0.0621,0.642774782845185,3,"Rodentia","Muridae",1,1
